20:36:10.694 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
20:36:12.139 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.745 seconds (process running for 1.931)] 
20:40:03.196 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 30104 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
20:40:03.197 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
20:40:04.619 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.823 seconds (process running for 2.006)] 
20:43:03.434 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 30524 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
20:43:03.435 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
20:43:04.918 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.781 seconds (process running for 1.955)] 
20:44:03.635 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 30943 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
20:44:03.636 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
20:44:05.037 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.713 seconds (process running for 1.873)] 
20:45:55.037 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 31396 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
20:45:55.038 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
20:45:56.525 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.781 seconds (process running for 1.971)] 
20:48:35.048 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 32137 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
20:48:35.049 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
20:48:36.504 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.799 seconds (process running for 1.972)] 
20:50:17.459 INFO  [File:TestLogService.java] [Func:logging] [Line:13] [Message:info log] 
20:57:37.849 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 33085 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
20:57:37.850 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
20:57:39.308 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.797 seconds (process running for 1.962)] 
21:05:33.713 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 34133 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
21:05:33.714 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
21:05:35.152 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.728 seconds (process running for 1.896)] 
21:05:46.667 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 34453 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
21:05:46.668 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
21:05:48.111 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.758 seconds (process running for 1.93)] 
21:07:27.584 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 35014 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
21:07:27.584 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
21:07:29.001 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 1.71 seconds (process running for 1.883)] 
21:08:49.211 INFO  [File:StartupInfoLogger.java] [Func:logStarting] [Line:51] [Message:Starting TemplateProjectApplication using Java 17.0.1 with PID 35779 (/home/sihun/dev/template-project/build/classes/java/main started by sihun in /home/sihun/dev/template-project)] 
21:08:49.212 INFO  [File:SpringApplication.java] [Func:logStartupProfileInfo] [Line:632] [Message:No active profile set, falling back to 1 default profile: "dev"] 
21:08:50.960 INFO  [File:StartupInfoLogger.java] [Func:logStarted] [Line:57] [Message:Started TemplateProjectApplication in 2.043 seconds (process running for 2.214)] 
